nmId;rating;text
287657449;5;"Целый комплект и фен и выпрямитель 🙌🏻😍"
287657449;5;"Шикарный фен, быстрая сушка, еще и складывается, ну счастье!"
287657449;5;"Брал на подарок, еще не вскрывали Надеюсь, порадует качеством)"
287657449;5;"Хороший компактный фен, удобно держать в руке"
287657449;5;"Оличный фен,все как на фото,жена очень довольна"
287657449;5;"Миниатюрный фен, дизайн, мощный, не шумный Нет Рекомендую"
287657449;5;"Я в восторге!Мощность просто вау!Вид огонь☺️ Все идеально"
287657449;5;"Быстрая сушка и удобна укладка Минусов нету Все супер"
287657449;5;"отличный фен девушке понравился"
287657449;5;"Долго шел, купила его же на  ***"
287657449;2;"Хороший, но начал перегреваться, плавиться и включаться/выключаться сам по себе через 6-7 месяцев после начала использования. Сейчас уже настолько расплавился, что даже насадку нельзя прикрепить. Плохие материалы корпуса, перегревается."
287657449;3;"Мне оказался слабоват, как в бассейнах висят в сушилке("
287657449;5;"Всё работает лёгкий пришёл быстро"
287657449;5;"Отличный фен. Дочка в восторге."
287657449;5;"Фен очень понравился, мощный"
287657449;5;"Товар пришёл вовремя, всё хорошо работает, спасибо продовцу."
287657449;5;"Соотношение цена/качество Брал в подарок, внешний вид выше всяких похвал. Относительно небольшой размер - удобно пользоваться. Довольно тихий, по сравнению со старым"
287657449;4;"Пока что работает исправно, быстро сушит, мощность хорошая Перепутаны местами кнопки температуры и мощности"
287657449;5;"Все супер. Спасибо! Когда получаешь коробку- в ней все так брякает , что страшно открывать-перезаказывала 3 раза! Очень слабая упаковка- тонкий картон, нет пенопласта."
287657449;5;"Компактный и хорошо сушит!"
287657449;5;"Небольшой, все работает, 3 режима, регулируется 1 переключателем"
287657449;5;"У МЕНЯ СГОРЕЛ ФЕН. ЗАКАЗАЛА НОВЫЙ. В ПУНКТЕ ВЫДАЧИ МНЕ ОТКАЗАЛИ В ПРОВЕРКЕ, ДАЖЕ НЕ ДАЛИ ВСКРЫТЬ КОРОБКУ. МОТИВИРУЯ, ЧТО ФЕН В ЗАВОДСКОЙ УПАКОВКЕ. ПОКУПАЛА КОТА В МЕШКЕ. НО ВСЕ ОБОШЛОСЬ. ФЕН ТОТ, РАБОЧИЙ. НАРЕКАНИЙ К РАБОТЕ НЕТ"
287657449;5;"Отличный, маленький, но мощный Насадок вполне достаточно. Хорошо брать с собой"
287657449;5;"Фен офигенный, работает супер... Тихо... Минусов нет Очень удобно крепить на магнит, держит хорошо..."
287657449;3;"почему он постоянно выключается и горит желто-зеленым цветом??? невозможно волосы нормально сушить, даже когда на холодном режиме!! помогите пожалуйста разобраться с этим, тогда поставлю пять звездочек 😥😥😥"
287657449;5;"Легкий вес, миниатюрный, шумит не сильно, будем тестировать"
287657449;1;"Поработал три месяца. Теперь сам выключается, щелкает."
287657449;5;"Очень классный фен! Понравился! Качественный! Работает не шумно, со своей задачей справляется на все 100%. Спасибо большое продавцу! Все так Спасибо"
287657449;4;"Перепутаны значки температуры и мощности, довольно шумно работает."
287657449;4;"Отличный фен Коробка была вся измятая"
287657449;5;"Мощный. Стильный. Фен отличный за свою стоимость, мощный. Очень удобный держатель для фена в комплекте. Легкий"
287657449;5;"Очень классный, до этого был проф фен и он был тяделый, а этот очень удобный, легкий, красивый, компактный и мощный, в общем я в восторге, а еще он с маленькой розовинкой, очень красивый цвет"
287657449;5;"На внешний вид фен понравился, работает хорошо. Посмотрим как покажет при дальнейшей эксплуатации. Спасибо."
287657449;5;"Все,дизайн размеры,но немного не рассчитала с мощностью,включила и поняла,что мои кудрявые и очень длинные волосы мне не просушить,списалась с продавцом и он пошел на уступки,отказываюсь не от того,что мне что-то не понравилось,а от того,что перезакажу другую модель у этого продавца Рекомендую"
287657449;2;"Дизайн Слабая мощность,сушила волосы значительно дольше среднего. Кнопки водимо перепутаны,снежинка регулирует силу потока воздуха,волна отвечает за температуру."
287657449;5;"Компактный фен - Хороший фен,но был бы еще регулятор температуры"
287657449;5;"Жена довольна, дальше меня слабо волнует, вроде дует нормально, сказала что-то там про то, что фен запоминает последний включенный режим и быстро переходит на холодный воздух Что не так?…. На яндексе продукция яндекса дороже, тут всё так. Жена довольна, больше ничего не знаю, мне голову не делает и хорошо"
287657449;5;"Очень приятный на ощупь Отличный фен, температура и воздух 🔥"
287657449;5;"маленький и мощный для домашнего"
287657449;5;"Мне все понравилось Минусов нет Фен хороший,пришел целый. Мне все нравится. Работает хорошо мощный"
287657449;4;"Фен в целом не плохой. Легкий Не совсем поняла, при оформлении заказа предложили вернуть 1660 бонусов за отзыв. Товар забрала-бонусы за отзыв больше не предлагает. Цвет был выбран именно из-за акции. Дорогой вайлдбериз и продавец, разберитесь в данной ситуации. Фен хочется оставить и так же хочется получить бонус за положительный отзыв)"
287657449;5;"Фен современный, стильный, хорошо выполняет свои функции!"
287657449;5;"Фен визуально и тактильно очень приятный. Красные недоверие цвета Дует хорошо, 3 режима работы, 2 режима мощности. Сам легкий. То что нужно! Спасибо"
287657449;5;"Дизайн, мощность Минус в том что он оооочень умный))) бережет волосы от перегрева так что постоянно выключается Купила этой же фирмы , но другую модель"
287657449;5;"Хорошо сушит волосы очень удобно Доставка быстрая заказал вечером на, след утро уже в пвз. Спасибо большое"
287657449;5;"Хороший фен, понравился, длинные волосы высушила за 5-7 минут"
287657449;3;"Дизайн Выпадвет насадка"
287657449;5;"Купила старшей внучке, она в восторге"
287657449;5;"Пришел полностью в заводской упаковке, пленке, вскрывать не стала, так как надобность в нем отпала, просто отказалась ."
287657449;5;"Фен симпатичный, стильный. Сушит не плохо Шумноват. Если бы производитель сделал фильтр другим, то фен был бы тише. В целом не плохой фен. Пишу отзыв, т.к. надеюсь получить баллы за отзыв. При заказе была акция 1330 баллов за отзыв, что и повлияло на выбор товара. Если бы не баллы, то заказал бы другой. Когда товар получил, то отзыв за баллы не предлагает сделать, а техподдержка продавца и ВБ пока это никак не прокомментировала. Надеюсь на решение проблемы. Если проблема решится, то отзыв дополню"
287657449;5;"Мне понравился очень цвет и фен приятный на ощупь) Немного тяжеловат, но не критично. Коробка приехала целая. Защитная пленка на месте. Фен мощный, за сколько высушила волосы не засекла, но явно быстрее обычного. Раньше минут 30 уходило. Для кудрявого метода мне чаша подходит( у меня волос не много) для длинных и густых чаша будет маловата. Цена качество устроило."
287657449;5;"Это тот случай, когда реальность превзошла ожидания, обалденное качество, удобен и продуман до мелочей и как то смогли при этом сделать его ещё и стильным, очень доволен спасибо, обязательно ещё возьму потом на подарок"
287657449;5;"Качество, удобство, мощность, размер Перепутаны изо6 кнопок мощности и температуры. Прекрасный фен, компактный мощный и не шумный. Единственный минус это перепутаные иконки мощности и температуры, не критично но контроль качества не особый."
287657449;5;"Компактный, мощный, красивый.  Удобная магнитная поставка Всё супер, недостатков нет Фен очень мощный, хотя написано 1600 Вт. А по ощущению мощнее фена — 2200 Вт.  Рекомендую 👍"
287657449;4;"Перепутаны обозначения кнопок мощности и температуры"
287657449;2;"Вся коробка рваная , что с ним делали в ужасном состоянии"
287657449;5;"Качественные материалы Хорошо справляется со своей задачей Минусов нет Отличный фен по соотношению цена-качество"
287657449;5;"Фен понравился. Волосы сушит быстро, яркий, компактный. Удобное крепление на стену"
287657449;5;"Все Минусов нет Очень классный фен, мощный, выглядит красиво и удобный Высушил волосы очень быстро, пока мой старый фен сушит дай бог за пол часа"
287657449;1;"Хорошая упаковка Не работает температурный режим, дует ледяным воздухом. Написала в чат поддержку, там сразу одобрили возврат, тут продавец просто не отвечает. Ну Емае, ну проверяйте товар перед отправкой, товар то не дешевый"
287657449;5;"чудо! мне очень понравился фен. отдельный лайк за магнитную держалку. наконец-то фен на своем месте!"
287657449;5;"Фен эстетично и современно выглядит, пользоваться очень удобно, легкий."
287657449;5;"Компактный и мощный Фен удобен в использовании, быстро сушит волосы, очень компактный можно брать с собой в поездки!"
287657449;5;"Все хорошо упакована. Работает нормально"
287657449;5;"крутой и мощный, советую"
287657449;3;"Внешний вид понравился , компактный Включили фен и пошел не приятный запах и запах гари"
287657449;5;"Хороший фен,сушит быстро,тихий. Нет Все пришло целое."
287657449;5;"Фен замечательный! Когда заказывала, переживала, что будет маленькая мощность. До этого был профессиональный, очень дорогой фен. Но нет, дует сильнее! Маленький диффузор, с длинными густыми волосами будет трудно Безумно красивый фен, брала «по обложке». Но не разочаровал. Аккуратный, мощный, умный фен. Понравилась функция с чередованием температуры. Буду такой всегда пользоваться. Спасибо! Рекомендую!"
287657449;5;"фен компактный, лёгкий, красивый, насадки только нужные и ничего лишнего, различные тепературы все отлично всем советую"
287657449;5;"Мощность, комбинированный режим сушки Супруга очень порадовалась, давно мечтала о таком фене"
287657449;5;"Спасибо за быструю доставку, без фена как без рук) Аккуратный, современный, стильный, на двух лампочках тихо работает, на полном режиме шумноватый, запаха постороннего нет. Посмотрим как надолго) Производителю спасибо!"
287657449;5;"Мощность, очень классный фен, в супер трендовом оттенке Пластик внутри коробки, на котором лежит фен выгляди дёшево Не первый продукт этого бренда в нашем доме, осталось для радости приобрести утюжок"
287657449;5;"Фен понравился, удобно сушить, легкий"
287657449;5;"Красивый, лёгкий, мощный"
287657449;2;"Рабочий Пришел бракованный фен, заметила уже после оплаты. Кнопки мощности и температуры перепутаны местами."
287657449;1;"Классный! Знаете,как будто открывала новый айфон😁!Первые впечатление-восторг,посмотрим как дальше в деле"
287657449;5;"Настройка температуры, цвет, материалы, крепление на стену"
287657449;5;"Очень удобно держать в руке, лёгкий, приятный, классная чаша дифузора, режим жёлтый не пересушивает и отлично делает завиток Для сушки моих кудрявых волос он идеален! Спасибо!"
287657449;5;"Внешний вид, цвет, упаковка Очень классный, хороший фен"
