Рейтинг;Статус выкупа;Достоинства;Недостатки;Комментарий
5;"Выкупили";"Пользовались с декабря. Покупкой была довольна. В марте перестал включаться. Обратились в гарантийный отдел, заявку одобрили быстро.";"";""
3;"Выкупили";"Мощный";"Сильно греет, держатель оказался сломанным";"Мощный, но слишком греет. Был аналогичный фен (брала у другого продавца), грел не так сильно и для волос очень подходил. Боюсь, будет сильно жечь волосы, посмотрим в деле В комплекте есть держатель для фена, который оказался сломанным"
5;"Выкупили";"Пока нравится. В деле посмотрим";"";""
2;"Выкупили";"";"Выписывал фирму Itasty, прошло hair dryer в цене и качестве они разнятся! Забрал товар так как очень необходимо. Не рекомендую!";""
5;"Выкупили";"";"Насадки слабо держаться";"Так фен отличный"
5;"Выкупили";"Идеален, дует так я думала кошку снесёт.";"";""
5;"Выкупили";"Всё понравилось, жена в восторге) всё работаем, мощный, насадок много. Вобщем пять с плюсом)";"";""
5;"Выкупили";"";"";"*** вообще!"
5;"Выкупили";"Пользуюсь первый день. Пока всё нравится. Фен легкий, холодный, горячий обдув разной мощности, разные насадки, еще не все попробовала. Есть даже маленький ньюанс-крепление, на которое можно разместить фен после использования";"";""
4;"Выкупили";"";"";"Отличный был, но прослужил совсем недолго. В один день включила в розетку его,он какой-то звук издал и потом вонь была, с тех пор не рабочий А так, прям очень классный был("
1;"Выкупили";"";"Не держатся магнитные насадки, хоть и сам дует нормально. Ожидала большего";""
5;"Выкупили";"Не верила, что за такую стоимость будет хорошо работать. Решила попробовать и не пожалела. Сушит хорошо. Разные насадки, но мне нужен был именно диффузор, остальные не пробовала. Смотрится красиво, приятный на ощупь";"";""
1;"Выкупили";"цена";"Фен сломался после 5 месяцев использования, продавец возврат не одобряет, требует написать отзыв на 5 звёзд, таким образом накручивая рейтинг товара.";""
3;"Отказались";"Дизайн";"Пришлось отказаться, мощность не соответствует описанию.";""
5;"Выкупили";"Фен мощный";"";""
5;"Выкупили";"Всё";"Все так";"Мне очень понравился фен, мощный , сушит очень быстро , спасибо большое ☺️ и большое спасибо за быструю доставку 🫶🏻"
5;"Выкупили";"насадки на магнитах, длинна шнура, мощность фена";"";"хороший фен, удобный"
5;"Выкупили";"Фен просто мощь!";"Все супер";"За 7 минут высушила длинные и густые волосы! Шикарный фен, куча насадок! Крепкий, хороший шнур, длинный. Без постороннего запаха."
5;"Выкупили";"Понравилось всё и как упакована и работает на 5";"";""
3;"Выкупили";"Всё работает, пока не испробовала";"Неприятно что в таком виде пришел товар";""
